unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.60194E+12,6/10/2020 0:00,ETH/USDT,353.63,355.1,336.8,340.75,640063.2695,221765553.6,240812
1.60186E+12,5/10/2020 0:00,ETH/USDT,352.34,356.1,348.54,353.62,376740.3069,132656713,145787
1.60177E+12,4/10/2020 0:00,ETH/USDT,345.94,354.45,343.81,352.37,343932.9171,119961274.7,138736
1.60168E+12,3/10/2020 0:00,ETH/USDT,345.6,351,343.7,345.95,303595.719,105401893.4,136755
1.6016E+12,2/10/2020 0:00,ETH/USDT,352.83,354.55,334.24,345.6,733571.8421,251829017.5,286023
1.60151E+12,1/10/2020 0:00,ETH/USDT,359.83,370.45,345.51,352.85,758349.3196,271468849.8,288354
1.60142E+12,30/9/2020 0:00,ETH/USDT,359.78,361.5,351.56,359.83,498943.2323,177784824.5,173910
1.60134E+12,29/9/2020 0:00,ETH/USDT,353.91,360.63,350.45,359.79,585143.1689,208028826.5,214988
1.60125E+12,28/9/2020 0:00,ETH/USDT,357.58,368.2,351.7,353.96,757758.4304,273063157.8,261317
1.60116E+12,27/9/2020 0:00,ETH/USDT,353.95,362.14,347.24,357.49,569568.5504,202411362.7,230526
1.60108E+12,26/9/2020 0:00,ETH/USDT,351.93,356.4,345.88,353.92,530879.2076,186812160.4,217834
1.60099E+12,25/9/2020 0:00,ETH/USDT,348.97,358,337.58,351.92,860643.7792,298266918.8,310536
1.60091E+12,24/9/2020 0:00,ETH/USDT,320.72,353.1,316.67,348.97,1071705.097,360708689.4,371450
1.60082E+12,23/9/2020 0:00,ETH/USDT,344.18,344.65,313.29,320.72,940904.4976,313808761.1,323226
1.60073E+12,22/9/2020 0:00,ETH/USDT,340.31,346.91,335.34,344.21,842731.1288,288166815.5,286593
1.60065E+12,21/9/2020 0:00,ETH/USDT,371.04,376.8,331,340.36,1283946.031,452134893.6,472560
1.60056E+12,20/9/2020 0:00,ETH/USDT,385.25,385.45,365,371.04,693164.4014,259700927.5,275295
1.60047E+12,19/9/2020 0:00,ETH/USDT,384.4,388.72,377,385.25,570908.3355,218785730.1,230924
1.60039E+12,18/9/2020 0:00,ETH/USDT,389.35,392.58,375.33,384.39,804194.4722,308748579.8,323159
1.6003E+12,17/9/2020 0:00,ETH/USDT,365.04,394.14,363.3,389.36,1256300.411,479026710.9,505247
1.60021E+12,16/9/2020 0:00,ETH/USDT,364.05,373.45,355,365.11,841709.9894,306622238.1,371665
1.60013E+12,15/9/2020 0:00,ETH/USDT,377.12,382.47,362.34,364.06,883856.3301,328317009.6,405048
1.60004E+12,14/9/2020 0:00,ETH/USDT,366.43,384.64,355.73,377.12,1042059.623,387238794.7,476828
1.59996E+12,13/9/2020 0:00,ETH/USDT,387.78,390.43,350,366.42,989195.6905,367969518.5,430236
1.59987E+12,12/9/2020 0:00,ETH/USDT,373.62,388.57,364.73,387.78,766542.3164,287133871.2,318774
1.59978E+12,11/9/2020 0:00,ETH/USDT,367.93,375.27,355.49,373.63,844017.5997,308822715.1,367615
1.5997E+12,10/9/2020 0:00,ETH/USDT,350.85,377.25,349.91,367.93,1134287.611,416598205.7,512819
1.59961E+12,9/9/2020 0:00,ETH/USDT,337.41,359,330.51,350.85,879760.5626,304910633.8,381038
1.59952E+12,8/9/2020 0:00,ETH/USDT,353.59,356.58,325.38,337.39,1400246.83,476444912.5,554846
1.59944E+12,7/9/2020 0:00,ETH/USDT,352.85,358.51,323,353.59,1740618.425,596754172.7,708066
1.59935E+12,6/9/2020 0:00,ETH/USDT,335.04,360,316.1,352.8,2017811.147,691925087.4,852597
1.59926E+12,5/9/2020 0:00,ETH/USDT,385.3,395,308.42,335.01,2777166.514,967730464.9,1074986
1.59918E+12,4/9/2020 0:00,ETH/USDT,381.35,400.21,357,385.26,1806488.225,696658932.1,744610
1.59909E+12,3/9/2020 0:00,ETH/USDT,439.5,450.7,372,381.4,2408569.342,995567239,903066
1.599E+12,2/9/2020 0:00,ETH/USDT,475.4,481.39,420,439.5,1880642.469,844475154.7,825133
1.59892E+12,1/9/2020 0:00,ETH/USDT,433.8,488.84,429.03,475.4,1751354.577,813662129.7,763508
1.59883E+12,31/8/2020 0:00,ETH/USDT,428.94,439,418.04,433.79,1040748.689,447866996.2,456201
1.59875E+12,30/8/2020 0:00,ETH/USDT,398.65,429.89,398.3,428.94,894979.7179,370467271.1,395838
1.59866E+12,29/8/2020 0:00,ETH/USDT,395.1,405.69,391.88,398.65,659802.6334,263787683,300090
